t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-29 20:33:41,0.00,0.00,0.00,0.0,grandpas_village,0.00,,35.722,3.352,0.00,,title
0.88,2026-08-29 20:33:41,0.00,0.00,0.00,0.0,grandpas_village,0.00,,35.722,3.352,0.00,,title
1.52,2026-08-29 20:34:48,8.83,-2.90,1318.49,86.8,corridor,8.02,clear,6.865,15.350,0.00,6.85,world
2.02,2026-08-29 20:34:49,8.83,-2.90,1318.49,86.8,corridor,8.04,clear,6.985,375.634,0.00,6.85,world
2.52,2026-08-29 20:34:49,8.83,-2.90,1318.49,86.8,corridor,8.06,clear,6.985,375.634,0.00,6.85,world
3.02,2026-08-29 20:34:50,8.83,-2.90,1318.49,86.8,corridor,8.08,clear,6.081,6.321,0.00,6.85,world
3.52,2026-08-29 20:34:50,8.83,-2.90,1318.49,86.8,corridor,8.10,clear,6.081,6.321,0.00,6.85,world
4.02,2026-08-29 20:34:51,8.83,-2.90,1318.49,86.8,corridor,8.12,clear,6.076,6.660,0.00,6.85,world
4.52,2026-08-29 20:34:51,8.83,-2.90,1318.49,86.8,corridor,8.14,clear,6.076,6.660,0.00,6.85,world
5.02,2026-08-29 20:34:52,8.83,-2.90,1318.49,86.8,corridor,8.16,clear,8.104,7.151,0.00,6.85,world
5.52,2026-08-29 20:34:52,8.83,-2.90,1318.49,86.8,corridor,8.18,clear,8.104,7.151,0.00,6.85,world
6.02,2026-08-29 20:34:53,8.83,-2.90,1318.49,86.8,corridor,8.20,clear,7.504,8.149,0.00,6.85,world
6.52,2026-08-29 20:34:53,8.83,-2.90,1318.49,86.8,corridor,8.22,clear,7.504,8.149,0.00,6.85,world
7.02,2026-08-29 20:34:54,8.83,-2.90,1318.49,86.8,corridor,8.24,clear,7.446,8.314,0.00,6.85,world
7.52,2026-08-29 20:34:54,8.83,-2.90,1318.49,86.8,corridor,8.26,clear,7.446,8.314,0.00,6.85,world
8.02,2026-08-29 20:34:55,8.83,-2.90,1318.49,86.8,corridor,8.28,clear,7.371,7.342,0.00,6.85,world
8.52,2026-08-29 20:34:55,8.83,-2.90,1318.49,86.8,corridor,8.30,clear,7.371,7.342,0.00,6.85,world
9.02,2026-08-29 20:34:56,8.83,-2.90,1318.49,86.8,corridor,8.32,clear,6.707,7.452,0.00,6.85,world
9.52,2026-08-29 20:34:56,8.83,-2.90,1318.49,86.8,corridor,8.34,clear,6.707,7.452,0.00,6.85,world
10.02,2026-08-29 20:34:57,8.83,-2.90,1318.49,86.8,corridor,8.36,clear,6.657,7.830,0.00,6.85,world
10.52,2026-08-29 20:34:57,8.83,-2.90,1318.49,86.8,corridor,8.38,clear,6.657,7.830,0.00,6.85,world
11.02,2026-08-29 20:34:58,8.83,-2.90,1318.49,86.8,corridor,8.40,clear,6.397,8.070,0.00,6.85,world
11.52,2026-08-29 20:34:58,8.83,-2.90,1318.49,86.8,corridor,8.42,clear,6.397,8.070,0.00,6.85,world
12.02,2026-08-29 20:34:59,8.83,-2.90,1318.49,86.8,corridor,8.44,clear,6.411,7.778,0.00,6.85,world
12.52,2026-08-29 20:34:59,8.83,-2.90,1318.49,86.8,corridor,8.46,clear,6.411,7.778,0.00,6.85,world
13.02,2026-08-29 20:35:00,8.83,-2.90,1318.49,86.8,corridor,8.48,clear,7.222,7.666,0.00,6.85,world
13.52,2026-08-29 20:35:00,8.83,-2.90,1318.49,86.8,corridor,8.50,clear,7.222,7.666,0.00,6.85,world
14.02,2026-08-29 20:35:01,8.83,-2.90,1318.49,86.8,corridor,8.52,clear,5.962,8.434,0.00,6.85,world
14.52,2026-08-29 20:35:01,8.83,-2.90,1318.49,86.8,corridor,8.54,clear,5.962,8.434,0.00,6.85,world
15.02,2026-08-29 20:35:02,8.83,-2.90,1318.49,86.8,corridor,8.56,clear,6.090,8.273,0.00,6.85,world
15.52,2026-08-29 20:35:02,8.83,-2.90,1318.49,86.8,corridor,8.58,clear,6.090,8.273,0.00,6.85,world
16.02,2026-08-29 20:35:03,8.83,-2.90,1318.49,86.8,corridor,8.60,clear,6.665,7.774,0.00,6.85,world
16.52,2026-08-29 20:35:03,8.83,-2.90,1318.49,86.8,corridor,8.62,clear,6.665,7.774,0.00,6.85,world
17.02,2026-08-29 20:35:04,8.83,-2.90,1318.49,86.8,corridor,8.64,clear,6.670,7.535,0.00,6.85,world
17.52,2026-08-29 20:35:04,8.83,-2.90,1318.49,86.8,corridor,8.66,clear,6.670,7.535,0.00,6.85,world
18.02,2026-08-29 20:35:05,8.83,-2.90,1318.49,86.8,corridor,8.68,clear,5.449,7.550,0.00,6.85,world
18.52,2026-08-29 20:35:05,8.83,-2.90,1318.49,86.8,corridor,8.70,clear,5.449,7.550,0.00,6.85,world
19.02,2026-08-29 20:35:06,8.83,-2.90,1318.49,86.8,corridor,8.72,clear,7.822,7.346,0.00,6.85,world
19.52,2026-08-29 20:35:06,8.83,-2.90,1318.49,86.8,corridor,8.74,clear,7.822,7.346,0.00,6.85,world
20.02,2026-08-29 20:35:07,8.83,-2.90,1318.49,86.8,corridor,8.76,clear,6.517,7.617,0.00,6.85,world
20.52,2026-08-29 20:35:07,8.83,-2.90,1318.49,86.8,corridor,8.78,clear,6.517,7.617,0.00,6.85,world
21.02,2026-08-29 20:35:08,8.83,-2.90,1318.49,86.8,corridor,8.80,clear,6.517,7.656,0.00,6.85,world
