t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-30 02:39:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.314,6.194,0.00,,title
0.90,2026-08-30 02:39:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,0.314,6.194,0.00,,title
1.62,2026-08-30 02:40:28,18.88,0.19,12.60,25.1,grandpas_village,8.02,clear,8.371,14.918,0.00,6.89,world
2.12,2026-08-30 02:40:28,18.88,0.19,12.60,25.1,grandpas_village,8.04,clear,8.430,453.172,0.00,6.89,world
2.62,2026-08-30 02:40:29,18.88,0.19,12.60,25.1,grandpas_village,8.06,clear,8.430,453.172,0.00,6.89,world
3.12,2026-08-30 02:40:29,18.88,0.19,12.60,25.1,grandpas_village,8.08,clear,5.968,7.449,0.00,6.89,world
3.62,2026-08-30 02:40:30,18.88,0.19,12.60,25.1,grandpas_village,8.10,clear,5.968,7.449,0.00,6.89,world
4.13,2026-08-30 02:40:30,18.88,0.19,12.60,25.1,grandpas_village,8.12,clear,6.142,7.446,0.00,6.89,world
4.63,2026-08-30 02:40:31,18.88,0.19,12.60,25.1,grandpas_village,8.14,clear,6.142,7.446,0.00,6.89,world
5.13,2026-08-30 02:40:31,18.88,0.19,12.60,25.1,grandpas_village,8.16,clear,6.908,7.703,0.00,6.89,world
5.63,2026-08-30 02:40:32,18.88,0.19,12.60,25.1,grandpas_village,8.18,clear,6.908,7.703,0.00,6.89,world
6.13,2026-08-30 02:40:32,18.88,0.19,12.60,25.1,grandpas_village,8.20,clear,8.286,7.723,0.00,6.89,world
6.63,2026-08-30 02:40:33,18.88,0.19,12.60,25.1,grandpas_village,8.22,clear,8.286,7.723,0.00,6.89,world
7.13,2026-08-30 02:40:33,18.88,0.19,12.60,25.1,grandpas_village,8.24,clear,6.742,7.749,0.00,6.89,world
7.63,2026-08-30 02:40:34,18.88,0.19,12.60,25.1,grandpas_village,8.26,clear,6.742,7.749,0.00,6.89,world
8.13,2026-08-30 02:40:34,18.88,0.19,12.60,25.1,grandpas_village,8.28,clear,6.922,7.591,0.00,6.89,world
