t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.73,2026-08-31 12:38:14,0.00,0.00,0.00,0.0,grandpas_village,0.00,,23.968,3.566,0.00,,title
0.88,2026-08-31 12:38:14,0.00,0.00,0.00,0.0,grandpas_village,0.00,,23.968,3.566,0.00,,title
1.58,2026-08-31 12:38:51,-4.34,1.26,-39.98,-90.8,grandpas_village,8.02,clear,14.157,2.095,0.00,4.16,world
2.08,2026-08-31 12:38:51,-4.34,1.26,-39.98,-90.8,grandpas_village,8.04,clear,14.157,2.095,0.00,4.16,world
2.58,2026-08-31 12:38:51,-4.34,1.26,-39.98,-90.8,grandpas_village,8.06,clear,15.933,388.577,0.00,4.16,world
3.08,2026-08-31 12:38:52,-4.34,1.26,-39.98,-90.8,grandpas_village,8.08,clear,15.933,388.577,0.00,4.16,world
3.58,2026-08-31 12:38:52,-4.34,1.26,-39.98,-90.8,grandpas_village,8.10,clear,14.213,5.005,0.00,4.16,world
4.10,2026-08-31 12:38:53,-4.34,1.26,-39.98,-90.8,grandpas_village,8.12,clear,14.213,5.005,0.00,4.16,world
4.60,2026-08-31 12:38:54,-4.34,1.26,-39.98,-90.8,grandpas_village,8.14,clear,14.463,6.504,0.00,4.16,world
5.10,2026-08-31 12:38:54,-4.34,1.26,-39.98,-90.8,grandpas_village,8.16,clear,14.463,6.504,0.00,4.16,world
5.60,2026-08-31 12:38:55,-4.34,1.26,-39.98,-90.8,grandpas_village,8.18,clear,15.049,6.075,0.00,4.16,world
6.10,2026-08-31 12:38:55,-4.34,1.26,-39.98,-90.8,grandpas_village,8.20,clear,15.049,6.075,0.00,4.16,world
6.60,2026-08-31 12:38:56,-4.34,1.26,-39.98,-90.8,grandpas_village,8.22,clear,15.879,6.212,0.00,4.16,world
7.10,2026-08-31 12:38:56,-4.34,1.26,-39.98,-90.8,grandpas_village,8.24,clear,15.879,6.212,0.00,4.16,world
7.60,2026-08-31 12:38:56,-4.34,1.26,-39.98,-90.8,grandpas_village,8.26,clear,14.912,5.850,0.00,4.16,world
8.10,2026-08-31 12:38:57,-4.34,1.26,-39.98,-90.8,grandpas_village,8.28,clear,14.912,5.850,0.00,4.16,world
8.60,2026-08-31 12:38:58,-4.34,1.26,-39.98,-90.8,grandpas_village,8.30,clear,14.001,4.988,0.00,4.16,world
9.10,2026-08-31 12:38:58,-4.34,1.26,-39.98,-90.8,grandpas_village,8.32,clear,14.001,4.988,0.00,4.16,world
9.60,2026-08-31 12:38:59,-4.34,1.26,-39.98,-90.8,grandpas_village,8.34,clear,13.241,5.113,0.00,4.16,world
10.10,2026-08-31 12:38:59,-4.34,1.26,-39.98,-90.8,grandpas_village,8.36,clear,13.241,5.113,0.00,4.16,world
10.60,2026-08-31 12:39:00,-4.34,1.26,-39.98,-90.8,grandpas_village,8.38,clear,16.492,5.500,0.00,4.16,world
11.10,2026-08-31 12:39:00,-4.34,1.26,-39.98,-90.8,grandpas_village,8.40,clear,16.492,5.500,0.00,4.16,world
11.60,2026-08-31 12:39:01,-4.34,1.26,-39.98,-90.8,grandpas_village,8.42,clear,16.704,5.349,0.00,4.16,world
12.10,2026-08-31 12:39:01,-4.34,1.26,-39.98,-90.8,grandpas_village,8.44,clear,16.704,5.349,0.00,4.16,world
12.60,2026-08-31 12:39:02,-4.34,1.26,-39.98,-90.8,grandpas_village,8.46,clear,15.610,5.496,0.00,4.16,world
13.10,2026-08-31 12:39:02,-4.34,1.26,-39.98,-90.8,grandpas_village,8.48,clear,15.610,5.496,0.00,4.16,world
13.60,2026-08-31 12:39:03,-4.34,1.26,-39.98,-90.8,grandpas_village,8.50,clear,14.049,5.838,0.00,4.16,world
