t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-29 18:22:47,0.00,0.00,0.00,0.0,grandpas_village,0.00,,25.649,18.487,0.00,,title
0.90,2026-08-29 18:22:47,0.00,0.00,0.00,0.0,grandpas_village,0.00,,25.649,18.487,0.00,,title
1.53,2026-08-29 18:23:12,-6.13,1.11,-38.36,175.5,grandpas_village,8.02,clear,5.982,12.277,0.00,11.66,world
2.03,2026-08-29 18:23:12,-6.13,1.11,-38.36,175.5,grandpas_village,8.04,clear,6.101,365.626,0.00,11.66,world
2.53,2026-08-29 18:23:12,-6.13,1.11,-38.36,175.5,grandpas_village,8.06,clear,6.101,365.626,0.00,11.66,world
3.03,2026-08-29 18:23:13,-6.13,1.11,-38.36,175.5,grandpas_village,8.08,clear,4.413,5.487,0.00,11.66,world
3.53,2026-08-29 18:23:13,-6.13,1.11,-38.36,175.5,grandpas_village,8.10,clear,4.413,5.487,0.00,11.66,world
4.03,2026-08-29 18:23:14,-6.13,1.11,-38.36,175.5,grandpas_village,8.12,clear,4.734,7.194,0.00,11.66,world
4.53,2026-08-29 18:23:14,-6.13,1.11,-38.36,175.5,grandpas_village,8.14,clear,4.734,7.194,0.00,11.66,world
5.03,2026-08-29 18:23:15,-6.13,1.11,-38.36,175.5,grandpas_village,8.16,clear,5.454,4.638,0.00,11.66,world
5.53,2026-08-29 18:23:15,-6.13,1.11,-38.36,175.5,grandpas_village,8.18,clear,5.454,4.638,0.00,11.66,world
6.03,2026-08-29 18:23:16,-6.13,1.11,-38.36,175.5,grandpas_village,8.20,clear,4.586,6.840,0.00,11.66,world
6.53,2026-08-29 18:23:16,-6.13,1.11,-38.36,175.5,grandpas_village,8.22,clear,4.586,6.840,0.00,11.66,world
7.03,2026-08-29 18:23:17,-6.13,1.11,-38.36,175.5,grandpas_village,8.24,clear,4.787,4.878,0.00,11.66,world
7.53,2026-08-29 18:23:17,-6.13,1.11,-38.36,175.5,grandpas_village,8.26,clear,4.787,4.878,0.00,11.66,world
8.03,2026-08-29 18:23:18,-6.13,1.11,-38.36,175.5,grandpas_village,8.28,clear,5.217,6.544,0.00,11.66,world
8.53,2026-08-29 18:23:18,-6.13,1.11,-38.36,175.5,grandpas_village,8.30,clear,5.217,6.544,0.00,11.66,world
9.03,2026-08-29 18:23:19,-6.13,1.11,-38.36,175.5,grandpas_village,8.32,clear,4.752,4.910,0.00,11.66,world
9.53,2026-08-29 18:23:19,-6.13,1.11,-38.36,175.5,grandpas_village,8.34,clear,4.752,4.910,0.00,11.66,world
10.03,2026-08-29 18:23:20,-6.13,1.11,-38.36,175.5,grandpas_village,8.36,clear,4.892,6.340,0.00,11.66,world
10.53,2026-08-29 18:23:20,-6.13,1.11,-38.36,175.5,grandpas_village,8.38,clear,4.892,6.340,0.00,11.66,world
11.03,2026-08-29 18:23:21,-6.13,1.11,-38.36,175.5,grandpas_village,8.40,clear,4.441,4.638,0.00,11.66,world
11.53,2026-08-29 18:23:21,-6.13,1.11,-38.36,175.5,grandpas_village,8.42,clear,4.441,4.638,0.00,11.66,world
12.03,2026-08-29 18:23:22,-6.13,1.11,-38.36,175.5,grandpas_village,8.44,clear,4.883,6.551,0.00,11.66,world
12.53,2026-08-29 18:23:22,-6.13,1.11,-38.36,175.5,grandpas_village,8.46,clear,4.883,6.551,0.00,11.66,world
13.03,2026-08-29 18:23:23,-6.13,1.11,-38.36,175.5,grandpas_village,8.48,clear,4.678,4.587,0.00,11.66,world
13.53,2026-08-29 18:23:23,-6.13,1.11,-38.36,175.5,grandpas_village,8.50,clear,4.678,4.587,0.00,11.66,world
14.03,2026-08-29 18:23:24,-6.13,1.11,-38.36,175.5,grandpas_village,8.52,clear,4.385,7.166,0.00,11.66,world
14.53,2026-08-29 18:23:24,-6.13,1.11,-38.36,175.5,grandpas_village,8.54,clear,4.385,7.166,0.00,11.66,world
15.03,2026-08-29 18:23:25,-6.13,1.11,-38.36,175.5,grandpas_village,8.56,clear,4.854,5.044,0.00,11.66,world
15.53,2026-08-29 18:23:25,-6.13,1.11,-38.36,175.5,grandpas_village,8.58,clear,4.854,5.044,0.00,11.66,world
16.03,2026-08-29 18:23:26,-6.13,1.11,-38.36,175.5,grandpas_village,8.60,clear,4.679,6.422,0.00,11.66,world
16.53,2026-08-29 18:23:26,-6.13,1.11,-38.36,175.5,grandpas_village,8.62,clear,4.679,6.422,0.00,11.66,world
17.03,2026-08-29 18:23:27,-6.13,1.11,-38.36,175.5,grandpas_village,8.64,clear,4.859,4.286,0.00,11.66,world
17.53,2026-08-29 18:23:27,-6.13,1.11,-38.36,175.5,grandpas_village,8.66,clear,4.859,4.286,0.00,11.66,world
18.03,2026-08-29 18:23:28,-6.13,1.11,-38.36,175.5,grandpas_village,8.68,clear,4.679,7.078,0.00,11.66,world
18.53,2026-08-29 18:23:28,-6.13,1.11,-38.36,175.5,grandpas_village,8.70,clear,4.679,7.078,0.00,11.66,world
19.03,2026-08-29 18:23:29,-6.13,1.11,-38.36,175.5,grandpas_village,8.72,clear,4.554,5.499,0.00,11.66,world
19.53,2026-08-29 18:23:29,-6.13,1.11,-38.36,175.5,grandpas_village,8.74,clear,4.554,5.499,0.00,11.66,world
20.03,2026-08-29 18:23:30,-6.13,1.11,-38.36,175.5,grandpas_village,8.76,clear,4.779,7.009,0.00,11.66,world
20.53,2026-08-29 18:23:30,-6.13,1.11,-38.36,175.5,grandpas_village,8.78,clear,4.779,7.009,0.00,11.66,world
21.03,2026-08-29 18:23:31,-6.13,1.11,-38.36,175.5,grandpas_village,8.80,clear,4.563,5.582,0.00,11.66,world
21.53,2026-08-29 18:23:31,-6.13,1.11,-38.36,175.5,grandpas_village,8.82,clear,4.563,5.582,0.00,11.66,world
22.03,2026-08-29 18:23:32,-6.13,1.11,-38.36,175.5,grandpas_village,8.84,clear,4.705,7.083,0.00,11.66,world
22.53,2026-08-29 18:23:32,-6.13,1.11,-38.36,175.5,grandpas_village,8.86,clear,4.705,7.083,0.00,11.66,world
23.03,2026-08-29 18:23:33,-6.13,1.11,-38.36,175.5,grandpas_village,8.88,clear,4.731,4.808,0.00,11.66,world
23.53,2026-08-29 18:23:33,-6.13,1.11,-38.36,175.5,grandpas_village,8.90,clear,4.731,4.808,0.00,11.66,world
24.03,2026-08-29 18:23:34,-6.13,1.11,-38.36,175.5,grandpas_village,8.92,clear,4.805,6.175,0.00,11.66,world
24.53,2026-08-29 18:23:34,-6.13,1.11,-38.36,175.5,grandpas_village,8.94,clear,4.805,6.175,0.00,11.66,world
25.03,2026-08-29 18:23:35,-6.13,1.11,-38.36,175.5,grandpas_village,8.96,clear,4.538,5.300,0.00,11.66,world
25.53,2026-08-29 18:23:35,-6.13,1.11,-38.36,175.5,grandpas_village,8.98,clear,4.538,5.300,0.00,11.66,world
26.03,2026-08-29 18:23:36,-6.13,1.11,-38.36,175.5,grandpas_village,9.00,clear,4.874,6.762,0.00,11.66,world
26.53,2026-08-29 18:23:36,-6.13,1.11,-38.36,175.5,grandpas_village,9.02,clear,4.874,6.762,0.00,11.66,world
