t,wall,x,y,z,heading,region,clock_hour,weather,frame_ms,physics_ms,dead_travel_m,nearest_poi_dist_m,input_context
0.75,2026-08-29 20:45:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,30.032,3.906,0.00,,title
0.90,2026-08-29 20:45:51,0.00,0.00,0.00,0.0,grandpas_village,0.00,,30.032,3.906,0.00,,title
1.57,2026-08-29 20:46:27,9.09,-2.90,1318.44,90.6,corridor,8.02,clear,6.822,14.555,0.00,6.62,world
2.07,2026-08-29 20:46:27,9.09,-2.90,1318.44,90.6,corridor,8.04,clear,5.089,356.534,0.00,6.62,world
2.57,2026-08-29 20:46:28,9.09,-2.90,1318.44,90.6,corridor,8.06,clear,5.089,356.534,0.00,6.62,world
3.07,2026-08-29 20:46:28,9.09,-2.90,1318.44,90.6,corridor,8.08,clear,6.133,6.566,0.00,6.62,world
3.57,2026-08-29 20:46:29,9.09,-2.90,1318.44,90.6,corridor,8.10,clear,6.133,6.566,0.00,6.62,world
4.07,2026-08-29 20:46:29,9.09,-2.90,1318.44,90.6,corridor,8.12,clear,5.193,6.189,0.00,6.62,world
4.57,2026-08-29 20:46:30,9.09,-2.90,1318.44,90.6,corridor,8.14,clear,5.193,6.189,0.00,6.62,world
5.07,2026-08-29 20:46:30,9.09,-2.90,1318.44,90.6,corridor,8.16,clear,6.323,7.470,0.00,6.62,world
5.57,2026-08-29 20:46:31,9.09,-2.90,1318.44,90.6,corridor,8.18,clear,6.323,7.470,0.00,6.62,world
6.07,2026-08-29 20:46:31,9.09,-2.90,1318.44,90.6,corridor,8.20,clear,6.300,7.623,0.00,6.62,world
6.57,2026-08-29 20:46:32,9.09,-2.90,1318.44,90.6,corridor,8.22,clear,6.300,7.623,0.00,6.62,world
7.07,2026-08-29 20:46:32,9.09,-2.90,1318.44,90.6,corridor,8.24,clear,6.424,7.279,0.00,6.62,world
7.57,2026-08-29 20:46:33,9.09,-2.90,1318.44,90.6,corridor,8.26,clear,6.424,7.279,0.00,6.62,world
8.07,2026-08-29 20:46:33,9.09,-2.90,1318.44,90.6,corridor,8.28,clear,5.936,7.243,0.00,6.62,world
8.57,2026-08-29 20:46:34,9.09,-2.90,1318.44,90.6,corridor,8.30,clear,5.936,7.243,0.00,6.62,world
9.07,2026-08-29 20:46:34,9.09,-2.90,1318.44,90.6,corridor,8.32,clear,7.062,9.467,0.00,6.62,world
9.57,2026-08-29 20:46:35,9.09,-2.90,1318.44,90.6,corridor,8.34,clear,7.062,9.467,0.00,6.62,world
10.07,2026-08-29 20:46:35,9.09,-2.90,1318.44,90.6,corridor,8.36,clear,6.333,6.860,0.00,6.62,world
10.57,2026-08-29 20:46:36,9.09,-2.90,1318.44,90.6,corridor,8.38,clear,6.333,6.860,0.00,6.62,world
11.07,2026-08-29 20:46:36,9.09,-2.90,1318.44,90.6,corridor,8.40,clear,6.548,7.251,0.00,6.62,world
11.57,2026-08-29 20:46:37,9.09,-2.90,1318.44,90.6,corridor,8.42,clear,6.548,7.251,0.00,6.62,world
12.07,2026-08-29 20:46:37,9.09,-2.90,1318.44,90.6,corridor,8.44,clear,5.972,7.906,0.00,6.62,world
12.57,2026-08-29 20:46:38,9.09,-2.90,1318.44,90.6,corridor,8.46,clear,5.972,7.906,0.00,6.62,world
13.07,2026-08-29 20:46:38,9.09,-2.90,1318.44,90.6,corridor,8.48,clear,6.090,7.777,0.00,6.62,world
13.57,2026-08-29 20:46:39,9.09,-2.90,1318.44,90.6,corridor,8.50,clear,6.090,7.777,0.00,6.62,world
14.07,2026-08-29 20:46:39,9.09,-2.90,1318.44,90.6,corridor,8.52,clear,5.956,7.457,0.00,6.62,world
14.57,2026-08-29 20:46:40,9.09,-2.90,1318.44,90.6,corridor,8.54,clear,5.956,7.457,0.00,6.62,world
15.07,2026-08-29 20:46:40,9.09,-2.90,1318.44,90.6,corridor,8.56,clear,5.057,7.726,0.00,6.62,world
15.57,2026-08-29 20:46:41,9.09,-2.90,1318.44,90.6,corridor,8.58,clear,5.057,7.726,0.00,6.62,world
16.07,2026-08-29 20:46:41,9.09,-2.90,1318.44,90.6,corridor,8.60,clear,6.339,7.621,0.00,6.62,world
16.57,2026-08-29 20:46:42,9.09,-2.90,1318.44,90.6,corridor,8.62,clear,6.339,7.621,0.00,6.62,world
17.07,2026-08-29 20:46:42,9.09,-2.90,1318.44,90.6,corridor,8.64,clear,6.330,6.815,0.00,6.62,world
17.57,2026-08-29 20:46:43,9.09,-2.90,1318.44,90.6,corridor,8.66,clear,6.330,6.815,0.00,6.62,world
18.07,2026-08-29 20:46:43,9.09,-2.90,1318.44,90.6,corridor,8.68,clear,5.932,6.588,0.00,6.62,world
18.57,2026-08-29 20:46:44,9.09,-2.90,1318.44,90.6,corridor,8.70,clear,5.932,6.588,0.00,6.62,world
19.07,2026-08-29 20:46:44,9.09,-2.90,1318.44,90.6,corridor,8.72,clear,6.236,8.202,0.00,6.62,world
19.57,2026-08-29 20:46:45,9.09,-2.90,1318.44,90.6,corridor,8.74,clear,6.236,8.202,0.00,6.62,world
20.07,2026-08-29 20:46:45,9.09,-2.90,1318.44,90.6,corridor,8.76,clear,6.779,8.920,0.00,6.62,world
20.57,2026-08-29 20:46:46,9.09,-2.90,1318.44,90.6,corridor,8.78,clear,6.779,8.920,0.00,6.62,world
21.07,2026-08-29 20:46:46,9.09,-2.90,1318.44,90.6,corridor,8.80,clear,6.202,7.145,0.00,6.62,world
21.57,2026-08-29 20:46:47,9.09,-2.90,1318.44,90.6,corridor,8.82,clear,6.202,7.145,0.00,6.62,world
22.07,2026-08-29 20:46:47,9.09,-2.90,1318.44,90.6,corridor,8.84,clear,5.075,6.917,0.00,6.62,world
22.57,2026-08-29 20:46:48,9.09,-2.90,1318.44,90.6,corridor,8.86,clear,5.075,6.917,0.00,6.62,world
23.07,2026-08-29 20:46:48,9.09,-2.90,1318.44,90.6,corridor,8.88,clear,5.711,7.048,0.00,6.62,world
23.57,2026-08-29 20:46:49,9.09,-2.90,1318.44,90.6,corridor,8.90,clear,5.711,7.048,0.00,6.62,world
24.07,2026-08-29 20:46:49,9.09,-2.90,1318.44,90.6,corridor,8.92,clear,4.902,6.900,0.00,6.62,world
24.57,2026-08-29 20:46:50,9.09,-2.90,1318.44,90.6,corridor,8.94,clear,4.902,6.900,0.00,6.62,world
25.07,2026-08-29 20:46:50,9.09,-2.90,1318.44,90.6,corridor,8.96,clear,5.340,6.826,0.00,6.62,world
25.57,2026-08-29 20:46:51,9.09,-2.90,1318.44,90.6,corridor,8.98,clear,5.340,6.826,0.00,6.62,world
26.07,2026-08-29 20:46:51,9.09,-2.90,1318.44,90.6,corridor,9.00,clear,5.308,6.680,0.00,6.62,world
26.57,2026-08-29 20:46:52,9.09,-2.90,1318.44,90.6,corridor,9.02,clear,5.308,6.680,0.00,6.62,world
27.07,2026-08-29 20:46:52,9.09,-2.90,1318.44,90.6,corridor,9.04,clear,5.693,6.856,0.00,6.62,world
27.57,2026-08-29 20:46:53,9.09,-2.90,1318.44,90.6,corridor,9.06,clear,5.693,6.856,0.00,6.62,world
28.07,2026-08-29 20:46:53,9.09,-2.90,1318.44,90.6,corridor,9.08,clear,5.686,7.036,0.00,6.62,world
28.57,2026-08-29 20:46:54,9.09,-2.90,1318.44,90.6,corridor,9.10,clear,5.686,7.036,0.00,6.62,world
29.07,2026-08-29 20:46:54,9.09,-2.90,1318.44,90.6,corridor,9.12,clear,5.192,7.066,0.00,6.62,world
29.57,2026-08-29 20:46:55,9.09,-2.90,1318.44,90.6,corridor,9.14,clear,5.192,7.066,0.00,6.62,world
30.07,2026-08-29 20:46:55,9.09,-2.90,1318.44,90.6,corridor,9.16,clear,6.288,7.230,0.00,6.62,world
30.57,2026-08-29 20:46:56,9.09,-2.90,1318.44,90.6,corridor,9.18,clear,6.288,7.230,0.00,6.62,world
31.07,2026-08-29 20:46:56,9.09,-2.90,1318.44,90.6,corridor,9.20,clear,5.584,7.205,0.00,6.62,world
31.57,2026-08-29 20:46:57,9.09,-2.90,1318.44,90.6,corridor,9.22,clear,5.584,7.205,0.00,6.62,world
32.07,2026-08-29 20:46:57,9.09,-2.90,1318.44,90.6,corridor,9.24,clear,6.004,7.194,0.00,6.62,world
32.57,2026-08-29 20:46:58,9.09,-2.90,1318.44,90.6,corridor,9.26,clear,6.004,7.194,0.00,6.62,world
33.07,2026-08-29 20:46:58,9.09,-2.90,1318.44,90.6,corridor,9.28,clear,5.835,7.862,0.00,6.62,world
33.57,2026-08-29 20:46:59,9.09,-2.90,1318.44,90.6,corridor,9.30,clear,5.835,7.862,0.00,6.62,world
34.07,2026-08-29 20:46:59,9.09,-2.90,1318.44,90.6,corridor,9.32,clear,6.063,7.067,0.00,6.62,world
34.57,2026-08-29 20:47:00,9.09,-2.90,1318.44,90.6,corridor,9.34,clear,6.063,7.067,0.00,6.62,world
35.07,2026-08-29 20:47:00,9.09,-2.90,1318.44,90.6,corridor,9.36,clear,5.693,7.193,0.00,6.62,world
35.57,2026-08-29 20:47:01,9.09,-2.90,1318.44,90.6,corridor,9.38,clear,5.693,7.193,0.00,6.62,world
36.07,2026-08-29 20:47:01,9.09,-2.90,1318.44,90.6,corridor,9.40,clear,6.082,7.295,0.00,6.62,world
36.57,2026-08-29 20:47:02,9.09,-2.90,1318.44,90.6,corridor,9.42,clear,6.082,7.295,0.00,6.62,world
